group,day,volume,std
ICB+QI,21,0.66,2
ICB+QI,27,13.39,21.39
ICB+QI,30,28.08,34.89
ICB+QI,35,44.9,47.73
ICB,21,31.33,34.85
ICB,27,120.07,33.27
ICB,30,201.17,60.08
ICB,35,271.8,76.62
QI,21,3.11,9.33
QI,27,19.83,23.75
QI,30,33.89,41.83
QI,35,100.89,70.02
controle,21,55.04,54.64
controle,27,142.47,49.89
controle,30,174.4,84.08
controle,35,327.25,51.26
